trial_id,parameters,auc,primary_metric
086,67577,0.9815762465015513,0.9162698304715775
095,57553,0.9815802583268398,0.9160521374731285
084,49505,0.9813564181860285,0.9158495620440164
110,39201,0.9815186694103367,0.9151692714238634
019,59073,0.9810179280742977,0.9147580735379043
045,52213,0.9809403473463721,0.9143952518738228
033,46735,0.9813267783872646,0.9140203361542718
007,39613,0.9806081271903142,0.9131979403823536
016,23979,0.9805583842801264,0.9103165316667725
014,36393,0.9805147782005355,0.9102530378755582
090,16901,0.9799822808089701,0.9099174278362827
006,22223,0.9803305073482184,0.9092885369518747
088,15773,0.9798013939023777,0.9072265004943445
046,14241,0.9782765350112878,0.9047986188588654
074,10115,0.978869314929278,0.9045446436940083
027,21701,0.9785044093195464,0.9040548344474982
119,18383,0.9777463894518769,0.9038643530738554
101,16095,0.9786282129661066,0.9031114981208861
085,12081,0.9781829262847733,0.9025491245415597
100,11225,0.9778223416110426,0.9020290801563762
073,9839,0.9784860884660684,0.9016209057842843
102,5333,0.9775667563252475,0.8992625649677543
077,11057,0.9770242261754591,0.8969193417205608
043,6413,0.9749266983944602,0.8929706326098065
005,5161,0.9737615305181805,0.8885744434466849
112,5549,0.9756544763083665,0.8869750046108587
051,2373,0.9709648429207919,0.8854088244275733
072,3095,0.9710154628521229,0.88527578981741
108,1211,0.962440939875215,0.8226860292494731
062,1433,0.9618100148807863,0.8225439240977079
