evalFolderName,test_loss,test_accuracy,roc_auc,fpr,tpr,thresholds,bkg_rej_at_95pct,fpr_at_95pct,bkg_rej_at_98pct,fpr_at_98pct,bkg_rej_at_99pct,fpr_at_99pct,numBackPixesPostFilter,numBackPixesTotal,numBackPixesRejRatio,evalFolderNameRepeated,brejatqq,brejDataAcceptanceRate
b0.8197mdl_al_1046,0.2656205892562866,0.9139508008956909,0.9483179001753136,deld,deld,deld,0.8690088970398775,0.13099110296012248,0.8465040847568092,0.1534959152431908,0.8197159616229899,0.18028403837701018,164429.0,1995053.0,0.08241835981607437,b0.8197mdl_al_1046,0.8690088970398775,0.9175816401839256
b0.8197mdl_al_1046,0.2656205892562866,0.9139508008956909,0.9483179001753136,deld,deld,deld,0.8690088970398775,0.13099110296012248,0.8465040847568092,0.1534959152431908,0.8197159616229899,0.18028403837701018,192899.0,1995053.0,0.0966886579990387,b0.8197mdl_al_1046,0.8465040847568092,0.9033113420009613
b0.8197mdl_al_1046,0.2656205892562866,0.9139508008956909,0.9483179001753136,deld,deld,deld,0.8690088970398775,0.13099110296012248,0.8465040847568092,0.1534959152431908,0.8197159616229899,0.18028403837701018,232062.0,1995053.0,0.1163187175989151,b0.8197mdl_al_1046,0.8197159616229899,0.8836812824010849
b0.8460mdl_ial_057,0.25325366854667664,0.9242504239082336,0.9563202026937888,deld,deld,deld,0.8890552768388984,0.1109447231611016,0.8684177819543174,0.1315822180456826,0.8460342240477743,0.15396577595222577,135324.0,1995053.0,0.06782978028059006,b0.8460mdl_ial_057,0.8890552768388984,0.9321702197194099
b0.8460mdl_ial_057,0.25325366854667664,0.9242504239082336,0.9563202026937888,deld,deld,deld,0.8890552768388984,0.1109447231611016,0.8684177819543174,0.1315822180456826,0.8460342240477743,0.15396577595222577,161983.0,1995053.0,0.08119232952594757,b0.8460mdl_ial_057,0.8684177819543174,0.9188076704740524
b0.8460mdl_ial_057,0.25325366854667664,0.9242504239082336,0.9563202026937888,deld,deld,deld,0.8890552768388984,0.1109447231611016,0.8684177819543174,0.1315822180456826,0.8460342240477743,0.15396577595222577,191779.0,1995053.0,0.09612727165222168,b0.8460mdl_ial_057,0.8460342240477743,0.9038727283477783
b0.8707mdl_ial_087,0.19368430972099304,0.9379998445510864,0.9712205514329135,deld,deld,deld,0.9182866756596996,0.0817133243403004,0.894648134956121,0.10535186504387893,0.8706973642329903,0.1293026357670097,94979.0,1995053.0,0.04760725796222687,b0.8707mdl_ial_087,0.9182866756596996,0.9523927420377731
b0.8707mdl_ial_087,0.19368430972099304,0.9379998445510864,0.9712205514329135,deld,deld,deld,0.9182866756596996,0.0817133243403004,0.894648134956121,0.10535186504387893,0.8706973642329903,0.1293026357670097,125886.0,1995053.0,0.06309907883405685,b0.8707mdl_ial_087,0.894648134956121,0.9369009211659431
b0.8707mdl_ial_087,0.19368430972099304,0.9379998445510864,0.9712205514329135,deld,deld,deld,0.9182866756596996,0.0817133243403004,0.894648134956121,0.10535186504387893,0.8706973642329903,0.1293026357670097,163218.0,1995053.0,0.08181136101484299,b0.8707mdl_ial_087,0.8706973642329903,0.918188638985157
b0.9048mdl_ial_046,0.15705418586730957,0.9504491686820984,0.9782706134114947,deld,deld,deld,0.9382178638010216,0.06178213619897843,0.9211513103051063,0.07884868969489367,0.9047789381147976,0.09522106188520242,67878.0,1995053.0,0.03402315452694893,b0.9048mdl_ial_046,0.9382178638010216,0.9659768454730511
b0.9048mdl_ial_046,0.15705418586730957,0.9504491686820984,0.9782706134114947,deld,deld,deld,0.9382178638010216,0.06178213619897843,0.9211513103051063,0.07884868969489367,0.9047789381147976,0.09522106188520242,88510.0,1995053.0,0.04436473548412323,b0.9048mdl_ial_046,0.9211513103051063,0.9556352645158768
b0.9048mdl_ial_046,0.15705418586730957,0.9504491686820984,0.9782706134114947,deld,deld,deld,0.9382178638010216,0.06178213619897843,0.9211513103051063,0.07884868969489367,0.9047789381147976,0.09522106188520242,111938.0,1995053.0,0.0561077818274498,b0.9048mdl_ial_046,0.9047789381147976,0.9438922181725502
